Image Name,Weight,Line Thickness,Relative Thickness (%),OCR Output,Accuracy (%)
weight_-1.png,-1.0,11.614173228346457,0.0,AAAA,100.0
weight_-2.png,-2.0,9.921259842519685,-14.576271186440682,AAAA,100.0
weight_-3.png,-3.0,8.236220472440944,-29.084745762711872,AAAA,100.0
weight_-4.png,-4.0,6.559055118110236,-43.525423728813564,AAAA,100.0
weight_-5.png,-5.0,4.881889763779528,-57.96610169491525,AAAA,100.0
weight_-6.png,-6.0,3.2125984251968505,-72.33898305084746,AAAA,100.0
weight_-7.png,-7.0,1.8679245283018868,-83.91685321394309,AAAA,100.0
weight_-8.png,-8.0,1.5217391304347827,-86.89756816507,mo mo mo mo,0.0
weight_1.png,1.0,11.614173228346457,0.0,AAAA,100.0
weight_10.png,10.0,29.669642857142858,155.46065375302663,AAAA,100.0
weight_11.png,11.0,31.684684684684683,172.81050542067487,AAAA,100.0
weight_12.png,12.0,34.027522935779814,192.98273985383295,AAAA,100.0
weight_13.png,13.0,36.092592592592595,210.7633396107972,AAAA,100.0
weight_14.png,14.0,38.177570093457945,228.71534927926498,AAAA,100.0
weight_15.png,15.0,39.91588785046729,243.68255979724375,AAAA,100.0
weight_16.png,16.0,41.27777777777778,255.4086629001883,AAAA,100.0
weight_17.png,17.0,42.63302752293578,267.0775929093453,AAAA,100.0
weight_18.png,18.0,43.981818181818184,278.69090909090903,AAAA,100.0
weight_19.png,19.0,45.32432432432432,290.25011452130093,AAAA,100.0
weight_2.png,2.0,13.629032258064516,17.348277747402943,AAAA,100.0
weight_20.png,20.0,46.660714285714285,301.75665859564157,AAAA,100.0
weight_21.png,21.0,47.991150442477874,313.2119394030298,,0.0
weight_22.png,22.0,49.31578947368421,324.6173059768064,,0.0
weight_23.png,23.0,50.63478260869565,335.9740604274134,,0.0
weight_24.png,24.0,51.94827586206897,347.2834599649328,,0.0
weight_25.png,25.0,53.256410256410255,358.54671881790523,,0.0
weight_26.png,26.0,54.559322033898304,369.765010054582,,0.0
weight_27.png,27.0,55.857142857142854,380.9394673123486,,0.0
weight_28.png,28.0,57.15,392.0711864406779,,0.0
weight_29.png,29.0,58.43801652892562,403.16122706261376,,0.0
weight_3.png,3.0,15.338709677419354,32.068890103881884,AAAA,100.0
weight_30.png,30.0,59.721311475409834,414.2106140594609,,0.0
weight_31.png,31.0,62.00826446280992,433.9016669001261,,0.0
weight_32.png,32.0,63.80165289256198,449.34304524443195,,0.0
weight_33.png,33.0,66.15,469.56271186440677,,0.0
weight_34.png,34.0,67.96666666666667,485.20451977401126,,0.0
weight_35.png,35.0,70.3781512605042,505.96781085315473,,0.0
weight_36.png,36.0,71.61666666666666,516.631638418079,,0.0
weight_37.png,37.0,74.70338983050847,543.2088480321746,,0.0
weight_38.png,38.0,75.92436974789916,553.7216920666572,,0.0
weight_39.png,39.0,78.44915254237289,575.4604998563632,,0.0
weight_4.png,4.0,17.462809917355372,50.35775318672082,AAAA,100.0
weight_40.png,40.0,80.33050847457628,591.6592933065211,,0.0
weight_5.png,5.0,19.333333333333332,66.46327683615817,AAAA,100.0
weight_6.png,6.0,21.39830508474576,84.2430336110313,AAAA,100.0
weight_7.png,7.0,23.316239316239315,100.75677241778935,AAAA,100.0
weight_8.png,8.0,25.469565217391306,119.29727339719972,AAAA,100.0
weight_9.png,9.0,27.42982456140351,136.17543859649123,AAAA,100.0
