Image Name,Weight,Line Thickness,Relative Thickness (%),OCR Output,Accuracy (%)
weight_-1.png,-1.0,3.6176470588235294,0.0,AAAA,100.0
weight_-2.png,-2.0,1.911764705882353,-47.15447154471544,AAAA,100.0
weight_-3.png,-3.0,1.2857142857142858,-64.45993031358884,,0.0
weight_1.png,1.0,3.6176470588235294,0.0,AAAA,100.0
weight_2.png,2.0,5.323529411764706,47.15447154471544,AAAA,100.0
weight_3.png,3.0,7.709677419354839,113.11303435615,AAAA,100.0
weight_4.png,4.0,9.451612903225806,161.26409651193285,AAAA,100.0
weight_5.png,5.0,11.533333333333331,218.8075880758808,AAAA,100.0
weight_6.png,6.0,12.870967741935484,255.78284815106215,AAAA,100.0
weight_7.png,7.0,14.1875,292.1747967479675,,0.0
weight_-1_50.png,-1.0,8.426966292134832,0.0,AAAA,100.0
weight_-2_50.png,-2.0,6.719101123595506,-20.266666666666676,AAAA,100.0
weight_-3_50.png,-3.0,5.01123595505618,-40.53333333333333,AAAA,100.0
weight_-4_50.png,-4.0,3.3258426966292136,-60.53333333333334,AAAA,100.0
weight_-5_50.png,-5.0,1.738095238095238,-79.37460317460318,AAAA,100.0
weight_-6_50.png,-6.0,1.2142857142857142,-85.5904761904762,,0.0
weight_-7_50.png,-7.0,1.0,-88.13333333333333,,0.0
weight_-8_50.png,-8.0,0.0,-100.0,,0.0
weight_10_50.png,10.0,27.01333333333333,220.55822222222216,AAAA,100.0
weight_11_50.png,11.0,28.76,241.2853333333333,AAAA,100.0
weight_12_50.png,12.0,30.11842105263158,257.4052631578947,AAAA,100.0
weight_13_50.png,13.0,31.467532467532468,273.4147186147186,AAAA,100.0
weight_14_50.png,14.0,32.80769230769231,289.3179487179487,AAAA,100.0
weight_15_50.png,15.0,34.13924050632912,305.11898734177214,,0.0
weight_16_50.png,16.0,35.4625,320.8216666666666,,0.0
weight_17_50.png,17.0,36.77777777777778,336.4296296296296,,0.0
weight_18_50.png,18.0,38.08536585365854,351.9463414634146,,0.0
weight_19_50.png,19.0,39.3855421686747,367.3751004016064,,0.0
weight_1_50.png,1.0,8.426966292134832,0.0,AAAA,100.0
weight_20_50.png,20.0,40.67857142857143,382.7190476190476,,0.0
weight_21_50.png,21.0,41.96470588235294,397.9811764705882,,0.0
weight_22_50.png,22.0,43.752941176470586,419.2015686274509,,0.0
weight_23_50.png,23.0,45.55294117647059,440.56156862745104,,0.0
weight_24_50.png,24.0,47.92857142857143,468.75238095238086,,0.0
weight_25_50.png,25.0,49.76190476190476,490.5079365079364,,0.0
weight_26_50.png,26.0,51.60714285714285,512.4047619047618,,0.0
weight_27_50.png,27.0,54.10843373493976,542.0867469879518,,0.0
weight_28_50.png,28.0,55.98795180722892,564.3903614457831,,0.0
weight_29_50.png,29.0,58.58536585365854,595.2130081300812,,0.0
weight_2_50.png,2.0,10.488372093023257,24.46201550387597,AAAA,100.0
weight_30_50.png,30.0,59.7710843373494,609.2835341365462,,0.0
weight_31_50.png,31.0,62.4390243902439,640.9430894308942,,0.0
weight_32_50.png,32.0,71.57966101694915,749.4119774011298,,0.0
weight_33_50.png,33.0,96.1150442477876,1040.565191740413,,0.0
weight_34_50.png,34.0,98.93333333333334,1074.0088888888888,,0.0
weight_35_50.png,35.0,103.15837104072398,1124.146003016591,,0.0
weight_36_50.png,36.0,107.03211009174312,1170.114373088685,,0.0
weight_37_50.png,37.0,111.0046511627907,1217.2551937984497,,0.0
weight_38_50.png,38.0,114.00467289719626,1252.8554517133955,,0.0
weight_39_50.png,39.0,118.70476190476192,1308.629841269841,,0.0
weight_3_50.png,3.0,12.209302325581396,44.88372093023255,AAAA,100.0
weight_40_50.png,40.0,122.97584541062804,1359.3133655394524,,0.0
weight_4_50.png,4.0,14.421686746987952,71.13734939759034,AAAA,100.0
weight_5_50.png,5.0,16.341463414634145,93.91869918699184,AAAA,100.0
weight_6_50.png,6.0,18.5125,119.68166666666664,AAAA,100.0
weight_7_50.png,7.0,20.50632911392405,143.3417721518987,AAAA,100.0
weight_8_50.png,8.0,22.525641025641026,167.30427350427348,AAAA,100.0
weight_9_50.png,9.0,24.571428571428573,191.5809523809524,AAAA,100.0
weight_-1_70.png,-1.0,11.614173228346456,0.0,AAAA,100.0
weight_-2_70.png,-2.0,9.921259842519683,-14.576271186440682,AAAA,100.0
weight_-3_70.png,-3.0,8.236220472440944,-29.084745762711872,AAAA,100.0
weight_-4_70.png,-4.0,6.559055118110236,-43.52542372881357,AAAA,100.0
weight_-5_70.png,-5.0,4.881889763779528,-57.96610169491525,AAAA,100.0
weight_-6_70.png,-6.0,3.2125984251968505,-72.33898305084746,AAAA,100.0
weight_-7_70.png,-7.0,1.8679245283018868,-83.91685321394309,AAAA,100.0
weight_-8_70.png,-8.0,1.5217391304347827,-86.89756816507,mo mo mo mo,0.0
weight_10_70.png,10.0,29.669642857142858,155.46065375302663,AAAA,100.0
weight_11_70.png,11.0,31.684684684684683,172.81050542067487,AAAA,100.0
weight_12_70.png,12.0,34.027522935779814,192.98273985383292,AAAA,100.0
weight_13_70.png,13.0,36.0925925925926,210.7633396107972,AAAA,100.0
weight_14_70.png,14.0,38.177570093457945,228.71534927926496,AAAA,100.0
weight_15_70.png,15.0,39.91588785046729,243.68255979724373,AAAA,100.0
weight_16_70.png,16.0,41.27777777777778,255.4086629001883,AAAA,100.0
weight_17_70.png,17.0,42.63302752293578,267.0775929093453,AAAA,100.0
weight_18_70.png,18.0,43.98181818181818,278.69090909090903,AAAA,100.0
weight_19_70.png,19.0,45.32432432432432,290.25011452130093,AAAA,100.0
weight_1_70.png,1.0,11.614173228346456,0.0,AAAA,100.0
weight_20_70.png,20.0,46.660714285714285,301.7566585956416,AAAA,100.0
weight_21_70.png,21.0,47.991150442477874,313.2119394030298,,0.0
weight_22_70.png,22.0,49.31578947368421,324.6173059768064,,0.0
weight_23_70.png,23.0,50.63478260869565,335.9740604274134,,0.0
weight_24_70.png,24.0,51.94827586206897,347.2834599649328,,0.0
weight_25_70.png,25.0,53.256410256410255,358.54671881790523,,0.0
weight_26_70.png,26.0,54.559322033898304,369.765010054582,,0.0
weight_27_70.png,27.0,55.85714285714285,380.9394673123486,,0.0
weight_28_70.png,28.0,57.15,392.0711864406779,,0.0
weight_29_70.png,29.0,58.43801652892562,403.16122706261376,,0.0
weight_2_70.png,2.0,13.629032258064516,17.348277747402943,AAAA,100.0
weight_30_70.png,30.0,59.72131147540984,414.2106140594609,,0.0
weight_31_70.png,31.0,62.00826446280992,433.9016669001261,,0.0
weight_32_70.png,32.0,63.80165289256198,449.343045244432,,0.0
weight_33_70.png,33.0,66.15,469.5627118644068,,0.0
weight_34_70.png,34.0,67.96666666666667,485.20451977401126,,0.0
weight_35_70.png,35.0,70.3781512605042,505.96781085315473,,0.0
weight_36_70.png,36.0,71.61666666666666,516.631638418079,,0.0
weight_37_70.png,37.0,74.70338983050847,543.2088480321746,,0.0
weight_38_70.png,38.0,75.92436974789916,553.7216920666572,,0.0
weight_39_70.png,39.0,78.44915254237289,575.4604998563632,,0.0
weight_3_70.png,3.0,15.338709677419354,32.068890103881884,AAAA,100.0
weight_40_70.png,40.0,80.33050847457628,591.6592933065211,,0.0
weight_4_70.png,4.0,17.462809917355372,50.35775318672082,AAAA,100.0
weight_5_70.png,5.0,19.33333333333333,66.46327683615817,AAAA,100.0
weight_6_70.png,6.0,21.39830508474576,84.2430336110313,AAAA,100.0
weight_7_70.png,7.0,23.316239316239315,100.75677241778936,AAAA,100.0
weight_8_70.png,8.0,25.469565217391303,119.29727339719972,AAAA,100.0
weight_9_70.png,9.0,27.42982456140351,136.17543859649123,AAAA,100.0
