Noise Strength,Text Detected,OCR Output,Accuracy
0.1,1,AAAA,100.0
0.09,1,AAAA,100.0
0.11,1,AAAA,100.0
0.12,1,AAAA,100.0
0.13,1,AAKAA,75.0
0.14,1,AAAA,100.0
0.15,1,AA,50.0
0.16,1,AAAA,100.0
0.17,1,AAAA,100.0
0.18,1,AAAA,100.0
0.19,1,AAAA,100.0
0.2,1,AAAA,100.0
0.21,1,AAAA,100.0
0.22,1,AAAA,100.0
0.23,1,AAAA,100.0
0.24,1,AAAA,100.0
0.25,1,AAAA,100.0
0.26,1,AAKA,75.0
0.27,1,AAAA,100.0
0.28,1,AAAA,100.0
0.29,1,ARAA,75.0
0.3,1,AAKAA,75.0
0.31,1,AAAA,100.0
0.32,1,AAAA,100.0
0.33,0,,0.0
0.34,1,AARAA,75.0
0.35,1,AAAA,100.0
0.36,1,ARAAA,75.0
0.37,1,AAAA,100.0
0.38,1,AKAA,75.0
0.39,1,RAAA,75.0
0.4,1,AAAA,100.0
0.41,1,AAAA,100.0
0.42,1,AABKA,50.0
0.43,1,AAAA,100.0
0.44,1,ARAA,75.0
0.45,0,,0.0
0.46,1,"ot

f",0.0
0.47,1,AAAA,100.0
0.48,0,,0.0
0.49,1,AABRA,50.0
0.5,1,AAA,75.0
0.51,0,,0.0
0.52,1,AAASA,75.0
0.53,1,AAA,75.0
0.54,1,AAAA,100.0
0.55,0,,0.0
0.56,1,ABABA,50.0
0.57,0,,0.0
0.58,0,,0.0
0.59,1,ARAB,50.0
0.6,0,,0.0
0.61,0,,0.0
0.62,1,"“X

<<",0.0
0.63,0,,0.0
0.64,0,,0.0
0.65,1,AAAA,100.0
0.66,0,,0.0
0.67,0,,0.0
0.68,0,,0.0
0.69,1,"“AL

of

ef",25.0
0.7,0,,0.0
0.71,0,,0.0
0.72,0,,0.0
0.73,0,,0.0
0.74,0,,0.0
0.75,0,,0.0
0.76,1,A A A,50.0
0.77,0,,0.0
0.78,0,,0.0
0.79,0,,0.0
0.8,0,,0.0
0.81,0,,0.0
0.82,0,,0.0
0.83,0,,0.0
0.84,0,,0.0
0.85,0,,0.0
0.86,0,,0.0
0.87,0,,0.0
0.88,1,RASA,50.0
0.89,0,,0.0
0.9,0,,0.0
0.91,0,,0.0
0.92,0,,0.0
0.93,0,,0.0
0.94,0,,0.0
0.95,0,,0.0
0.96,0,,0.0
0.97,0,,0.0
0.98,0,,0.0
0.99,0,,0.0
